province,district,sector,property_type,bedrooms,bathrooms,square_meters,parking_spaces,year_built,furnished,nearby_school,nearby_hospital,nearby_road,security_level,internet_access,market_demand,house_condition,land_size,predicted_market_value
Northern Province,Gakenke,Karambo,Villa,6,6,269,0,2024,1,1,1,1,2,1,2,2,1320,150700000
Northern Province,Gicumbi,Nyamiyaga,House,3,2,108,1,2013,1,1,0,1,1,2,1,1,440,40400000
Kigali City,Kicukiro,Gikondo,Apartment,2,2,57,3,2015,0,1,1,1,1,1,1,1,150,36100000
Northern Province,Burera,Kinyababa,Mansion,4,4,183,2,2016,0,1,1,1,2,1,1,1,550,82200000
Northern Province,Gicumbi,Kaniga,House,4,4,126,2,1996,0,1,0,1,1,1,1,1,260,41600000
Northern Province,Rulindo,Masoro,House,3,2,144,1,1996,1,1,1,1,2,2,0,1,450,38700000
Eastern Province,Gatsibo,Kiramuruzi,Villa,5,4,207,0,1999,1,1,1,1,2,2,1,2,770,73200000
Western Province,Ngororero,Ndaro,Apartment,3,2,94,3,1999,1,1,1,1,0,2,1,2,320,25500000
Eastern Province,Bugesera,Ngeruka,Apartment,3,2,99,0,2005,0,1,1,1,1,1,1,1,270,25400000
Northern Province,Rulindo,Cyinzuzi,House,6,5,270,2,2014,1,1,1,1,2,2,1,2,1000,144500000
Southern Province,Nyamagabe,Musange,House,2,2,72,3,2015,1,1,1,1,1,1,2,2,220,19500000
Western Province,Nyamasheke,Bushenge,Apartment,1,1,60,3,2022,1,1,1,1,2,2,1,2,290,18600000
Western Province,Rusizi,Nkanka,Villa,5,5,193,1,1999,1,1,1,1,1,1,2,1,520,77000000
Southern Province,Nyaruguru,Muganza,House,4,4,132,2,2017,0,0,1,1,0,2,1,1,400,55100000
Eastern Province,Rwamagana,Fumbwe,Apartment,2,2,74,2,2011,1,1,1,1,2,0,0,2,120,18700000
Western Province,Nyabihu,Muringa,Apartment,1,1,37,2,2004,0,1,1,1,0,1,1,2,150,7400000
Northern Province,Gakenke,Kivuruga,Mansion,6,5,377,1,2013,0,1,1,1,2,2,1,1,1210,173900000
Northern Province,Rulindo,Rukozo,House,2,1,75,3,2021,1,1,1,1,1,2,2,2,120,23200000
Eastern Province,Nyagatare,Kiyombe,Villa,5,5,227,0,1999,1,1,1,1,2,1,1,1,420,68900000
Northern Province,Burera,Gatebe,House,4,3,181,1,2005,1,1,1,1,2,1,1,0,680,67100000
Southern Province,Gisagara,Mamba,Mansion,4,3,201,3,1998,1,1,1,1,1,2,2,0,420,68500000
Kigali City,Gasabo,Nduba,Villa,4,4,159,0,2008,1,1,1,1,1,1,2,2,460,143300000
Western Province,Ngororero,Nyange,House,3,2,130,1,2007,0,1,0,1,2,2,2,1,560,40900000
Kigali City,Gasabo,Gacuriro,Apartment,1,1,36,1,1997,1,0,1,1,1,1,2,1,100,19800000
Kigali City,Nyarugenge,Mageragere,Apartment,2,1,55,3,2006,1,0,1,1,1,2,0,1,190,30200000
Eastern Province,Kayonza,Kayonza,House,2,2,88,0,1999,1,1,0,1,1,0,2,2,280,17400000
Western Province,Ngororero,Kavumu,Apartment,1,1,57,1,1995,0,1,1,1,2,2,1,1,240,10500000
Kigali City,Kicukiro,Masaka,Villa,3,2,123,1,2010,1,1,1,1,2,1,1,2,350,65500000
Eastern Province,Ngoma,Kibungo,House,2,2,72,2,2025,1,0,1,1,1,2,2,2,200,16900000
Northern Province,Burera,Butaro,Villa,4,3,172,2,2012,1,1,1,1,2,1,1,1,520,63700000
Southern Province,Nyanza,Busasamana,Apartment,1,1,51,1,1995,1,1,0,1,2,1,1,2,230,9700000
Eastern Province,Kayonza,Murundi,Mansion,4,4,185,3,1999,0,1,1,1,1,2,0,0,740,76900000
Northern Province,Gicumbi,Mukarange,Apartment,1,1,57,1,2025,0,1,1,1,1,1,1,1,130,11700000
Southern Province,Nyaruguru,Munini,Villa,3,2,122,0,1996,1,1,1,1,1,2,1,1,370,26300000
Western Province,Nyamasheke,Rangiro,House,2,1,87,1,2006,1,1,1,1,1,1,1,2,240,22400000
Eastern Province,Gatsibo,Remera,Apartment,2,1,76,1,2017,0,0,1,1,2,2,1,2,320,22100000
Western Province,Ngororero,Gatumba,Villa,3,3,118,1,1997,1,1,1,1,1,2,2,1,580,41800000
Southern Province,Gisagara,Musha,House,3,3,150,2,2011,1,1,1,0,1,2,1,1,360,46200000
Eastern Province,Ngoma,Mugesera,House,2,2,62,2,2007,1,1,1,1,1,2,0,0,300,19200000
Western Province,Rubavu,Gisenyi,Mansion,5,5,233,2,2024,0,1,1,1,2,2,1,1,460,119800000
Northern Province,Rulindo,Mbogo,Villa,4,4,180,0,1998,1,1,1,1,0,1,2,0,360,51100000
Southern Province,Nyanza,Muyira,House,4,4,176,1,2024,1,0,1,1,2,2,0,1,740,77600000
Western Province,Rusizi,Gitambi,Apartment,2,1,53,2,2002,1,1,1,1,2,2,1,2,90,13300000
Southern Province,Ruhango,Byima,Mansion,5,4,310,0,2010,0,0,1,1,1,2,1,2,680,87800000
Southern Province,Huye,Tumba,House,4,3,156,1,2013,1,1,1,1,1,1,1,1,620,52700000
Kigali City,Kicukiro,Gatenga,Apartment,2,1,77,2,2023,0,1,0,1,2,2,1,2,310,59100000
Eastern Province,Ngoma,Kibungo,House,2,1,61,3,2024,1,1,1,1,1,2,1,0,290,19400000
Eastern Province,Gatsibo,Nyagihanga,Villa,3,3,149,2,2014,0,1,1,1,2,2,2,1,670,43500000
Southern Province,Nyamagabe,Mutarama,Apartment,2,2,76,2,2012,1,0,1,1,2,2,2,1,370,20200000
Northern Province,Musanze,Muko,Mansion,6,5,382,2,2012,1,1,0,1,1,2,2,2,1400,234000000
Southern Province,Muhanga,Kiyumba,House,4,4,210,1,2012,1,1,1,1,2,1,1,2,970,74900000
Eastern Province,Ngoma,Rurenge,Apartment,2,1,56,0,2016,1,1,1,1,1,1,0,1,140,12800000
Northern Province,Burera,Bungwe,Villa,4,4,111,1,2005,1,1,1,1,2,2,0,0,280,44000000
Southern Province,Nyaruguru,Kibeho,Apartment,1,1,55,2,2011,1,1,1,1,2,2,1,1,220,13000000
Eastern Province,Bugesera,Mayange,Apartment,1,1,50,3,1996,1,1,1,1,1,0,0,2,130,10400000
Southern Province,Nyamagabe,Tare,House,4,3,216,2,2006,1,1,1,1,2,0,2,1,700,68100000
Eastern Province,Kayonza,Mwiri,House,3,3,96,1,2021,0,1,1,1,2,1,1,1,290,24800000
Southern Province,Muhanga,Mushishiro,House,3,2,92,2,2000,1,1,1,1,1,2,1,1,340,31200000
Northern Province,Burera,Kinyababa,Villa,4,4,168,0,2007,1,1,1,1,1,2,0,2,410,54100000
Southern Province,Nyaruguru,Ruramba,Villa,4,3,197,0,2004,0,1,1,1,1,2,0,0,620,48700000
Eastern Province,Bugesera,Juru,House,5,5,224,3,1997,1,1,1,1,1,1,1,1,870,94000000
Southern Province,Nyamagabe,Musange,House,4,3,154,3,2018,0,0,1,1,2,1,2,0,730,55500000
Western Province,Rusizi,Ramba,Villa,5,4,259,2,2010,1,1,1,1,2,1,2,2,1230,99400000
Eastern Province,Kayonza,Ndego,Villa,4,3,158,0,2004,0,1,1,1,2,2,0,1,460,42500000
Western Province,Ngororero,Kabaya,Villa,3,2,139,1,2023,1,0,1,0,1,2,1,1,490,43100000
Western Province,Rutsiro,Nyabirasi,House,2,2,94,2,2022,0,1,1,1,2,1,1,2,300,27100000
Western Province,Karongi,Bwishyura,Mansion,4,4,217,2,2024,0,1,0,0,1,1,0,1,1030,94400000
Southern Province,Ruhango,Ntongwe,House,3,3,154,3,2025,1,1,0,1,1,2,2,2,400,56000000
Western Province,Rusizi,Kamembe,Mansion,5,5,188,2,2007,0,1,1,1,0,2,1,1,830,79000000
Kigali City,Gasabo,Kimihurura,House,4,3,175,2,2015,0,1,1,1,1,1,1,2,670,199400000
Southern Province,Huye,Karama,Mansion,4,3,215,1,1999,1,1,0,1,1,2,2,1,920,69400000
Southern Province,Gisagara,Kansi,House,3,3,112,1,2011,1,1,0,1,1,0,1,2,510,31300000
Eastern Province,Rwamagana,Gishali,Apartment,1,1,40,2,1999,0,1,1,1,1,1,2,1,170,10200000
Northern Province,Rulindo,Buyoga,Apartment,1,1,31,2,2023,1,1,1,1,1,2,2,1,90,8800000
Eastern Province,Bugesera,Rilima,House,3,3,139,3,2001,0,0,0,1,2,2,2,2,530,49400000
Northern Province,Burera,Cyeru,Apartment,2,2,65,1,2007,1,1,0,1,1,2,2,0,170,18900000
Western Province,Rubavu,Bugeshi,House,3,2,158,3,2005,0,1,1,1,1,2,2,2,410,58200000
Eastern Province,Gatsibo,Rwimbogo,Villa,4,4,170,2,1996,1,1,1,1,0,2,1,1,520,48800000
Northern Province,Burera,Rugarama,Apartment,2,2,70,2,2010,1,1,1,1,1,1,2,2,290,26400000
Northern Province,Burera,Gitovu,Apartment,2,1,65,1,2024,1,1,1,1,1,2,0,2,300,18400000
Northern Province,Gicumbi,Miyove,House,4,3,156,2,2000,1,1,1,1,2,1,1,1,340,42900000
Eastern Province,Kayonza,Kabarondo,House,4,3,125,2,2009,0,1,0,1,1,1,1,1,220,31100000
Northern Province,Gakenke,Minazi,House,2,1,70,3,1999,1,1,1,1,1,2,1,0,260,16700000
Southern Province,Gisagara,Musha,Mansion,6,5,311,1,2006,0,1,0,0,1,1,0,1,670,124100000
Eastern Province,Nyagatare,Musheri,House,2,2,74,2,2005,0,1,1,1,1,1,1,2,320,18300000
Southern Province,Nyaruguru,Nyagisozi,Mansion,6,6,343,3,2009,1,1,1,1,0,1,2,2,1600,187700000
Western Province,Rusizi,Gashonga,Villa,4,4,211,1,2023,1,1,1,1,1,1,1,2,690,73800000
Eastern Province,Kirche,Gatore,House,4,3,131,2,2000,1,1,0,1,2,1,1,2,430,42400000
Northern Province,Gicumbi,Mukarange,Apartment,2,2,96,2,2004,1,1,1,1,0,1,0,0,450,27000000
Eastern Province,Nyagatare,Karangazi,House,2,1,83,0,2003,1,1,1,1,2,2,2,1,170,14100000
Western Province,Nyamasheke,Bushenge,Apartment,1,1,42,2,2021,0,1,1,1,1,2,1,1,180,12100000
Southern Province,Huye,Mbazi,House,2,2,85,1,2017,1,1,1,1,0,2,2,2,190,26500000
Northern Province,Gakenke,Rushashi,House,3,2,143,2,1995,0,0,0,1,1,2,2,1,390,41600000
Northern Province,Gicumbi,Byumba,Apartment,1,1,57,2,2013,1,1,1,1,2,2,1,1,110,15400000
Northern Province,Burera,Cyanika,House,3,2,144,2,2004,1,1,1,1,1,1,0,2,590,47400000
Western Province,Rutsiro,Kavumu,Mansion,6,5,418,2,2023,0,1,1,1,2,2,2,1,1100,224200000
Northern Province,Burera,Gahunga,Mansion,5,4,238,2,2013,1,1,0,1,1,1,2,1,680,101000000
Southern Province,Nyaruguru,Nyagisozi,House,3,2,105,1,2005,0,1,0,1,0,0,2,2,420,26700000
Eastern Province,Kirche,Musaza,Mansion,6,5,420,1,2024,1,1,0,1,1,1,2,2,1540,232800000
Southern Province,Nyamagabe,Nkomane,Apartment,1,1,32,1,2022,1,1,1,1,1,2,0,1,70,8200000
Southern Province,Nyaruguru,Ruheru,House,4,4,119,3,2013,0,1,0,1,1,1,0,1,520,50500000
Eastern Province,Nyagatare,Kiyombe,Mansion,5,5,218,2,2016,0,1,0,1,2,1,1,1,760,101700000
Northern Province,Rulindo,Rusiga,House,3,3,106,3,2001,1,1,1,1,1,1,1,2,170,29100000
Eastern Province,Ngoma,Karembo,Villa,3,3,150,3,2007,1,1,1,1,1,2,0,1,330,38200000
Western Province,Karongi,Gishari,Villa,4,3,160,0,1995,0,1,1,1,1,0,0,1,250,35700000
Northern Province,Musanze,Nyange,Villa,3,2,126,1,2002,1,0,1,1,1,1,1,1,340,41600000
Eastern Province,Nyagatare,Nyagatare,House,5,4,171,1,2006,1,1,1,1,1,2,1,2,590,62300000
Eastern Province,Gatsibo,Murambi,House,2,2,87,2,2013,0,1,1,1,2,2,2,0,250,21200000
Southern Province,Kamonyi,Rukoma,Mansion,5,5,310,1,2023,1,1,1,1,1,2,1,2,920,132100000
Southern Province,Ruhango,Byima,House,4,4,155,2,2011,0,1,0,1,2,2,1,2,590,65700000
Western Province,Nyamasheke,Ruharambuga,Mansion,4,4,183,0,2025,1,1,1,1,1,2,1,1,850,73300000
Eastern Province,Bugesera,Mwogo,House,2,1,91,0,1995,0,1,1,1,1,0,1,1,180,17600000
Southern Province,Kamonyi,Kayumbu,House,4,3,198,2,2018,0,1,1,1,1,1,1,1,480,58800000
Eastern Province,Kirche,Kigina,Apartment,3,2,88,1,2020,1,1,1,0,1,1,0,2,140,23900000
Eastern Province,Kayonza,Rukara,House,2,2,62,0,2013,1,1,1,1,2,2,1,0,170,15700000
Eastern Province,Kirche,Nyarubuye,Villa,4,4,212,2,1995,1,1,1,1,0,2,0,2,360,64000000
Southern Province,Muhanga,Kiyumba,House,4,4,112,2,2006,0,1,1,1,1,2,0,2,280,34200000
Eastern Province,Rwamagana,Rwamagana,House,2,2,87,0,2011,1,1,1,1,1,1,0,2,300,22200000
Northern Province,Burera,Nemba,Apartment,1,1,38,2,1995,0,1,1,1,1,2,2,0,140,9600000
Western Province,Rusizi,Gitambi,House,2,1,96,2,2001,0,1,1,1,0,1,1,2,270,21700000
Western Province,Nyabihu,Kintobo,Apartment,1,1,36,1,1999,1,1,0,1,2,2,2,1,90,7300000
Kigali City,Gasabo,Nyarutarama,Villa,3,2,124,0,2001,0,1,1,1,1,1,1,2,280,83100000
Eastern Province,Rwamagana,Gishali,Villa,5,5,234,1,2022,1,0,1,1,0,2,0,1,1050,102100000
Kigali City,Gasabo,Kimironko,Mansion,4,3,186,1,1998,0,1,1,1,2,2,2,2,660,135000000
Eastern Province,Kayonza,Ndego,House,3,2,117,1,2014,1,1,1,1,1,0,1,1,440,40000000
Southern Province,Huye,Kinazi,House,4,4,138,1,2021,1,1,0,1,2,2,1,0,620,68600000
Western Province,Nyabihu,Bigogwe,House,3,2,109,2,2024,0,1,1,1,2,1,2,2,530,41400000
Eastern Province,Kirche,Nasho,House,4,4,197,2,2005,0,1,1,1,1,2,2,1,420,68700000
Western Province,Rubavu,Rugerero,House,4,4,113,1,2015,1,1,1,1,2,2,0,2,420,45300000
Eastern Province,Rwamagana,Munyiginya,Mansion,5,4,212,1,2004,1,1,0,1,1,2,1,1,760,80200000
Eastern Province,Gatsibo,Gitoki,Mansion,5,4,307,3,2015,1,0,1,1,1,2,0,2,470,126500000
Northern Province,Musanze,Kimonyi,House,3,2,159,3,2001,0,1,1,1,1,1,0,2,440,59900000
Western Province,Nyabihu,Muringa,Villa,3,2,137,3,2024,1,1,1,1,2,2,1,1,490,42800000
Northern Province,Gakenke,Kamubuga,Apartment,1,1,60,1,2021,1,1,1,1,1,1,1,1,220,14500000
Eastern Province,Kayonza,Kabare,House,3,2,109,0,1997,1,1,1,1,2,1,1,1,530,26900000
Kigali City,Gasabo,Kinyinya,House,3,2,145,3,2005,1,1,1,1,1,2,2,1,650,120800000
Western Province,Ngororero,Kavumu,House,3,2,122,1,2008,1,1,1,1,1,2,0,2,440,40400000
Northern Province,Gakenke,Ruli,Villa,4,4,125,2,2021,0,1,1,1,1,2,1,2,510,67000000
Eastern Province,Gatsibo,Rwimbogo,House,4,3,152,3,2021,0,1,1,1,1,2,1,1,390,46300000
Western Province,Rubavu,Rubavu,Apartment,1,1,59,0,2017,0,1,1,1,0,2,1,1,130,14800000
Kigali City,Kicukiro,Gikondo,Villa,5,4,246,3,2016,1,1,1,1,1,0,2,1,1150,240500000
Eastern Province,Rwamagana,Musha,Mansion,6,5,334,0,2014,0,1,1,1,1,0,1,2,660,144800000
Western Province,Rubavu,Bugeshi,House,4,3,212,2,2023,1,1,1,1,2,1,0,2,790,87100000
Eastern Province,Kayonza,Kabare,House,4,4,175,1,2010,1,1,1,1,1,1,0,1,530,56600000
Southern Province,Nyanza,Muyira,House,2,2,73,0,1997,1,1,1,1,1,1,1,0,110,12700000
Northern Province,Burera,Nemba,Villa,5,5,269,2,2021,1,0,1,1,1,2,1,2,1090,147600000
Western Province,Nyabihu,Rurembo,House,3,3,132,0,2023,1,1,1,1,2,1,1,2,630,52700000
Northern Province,Gicumbi,Bukure,House,4,3,117,2,1999,1,1,1,1,1,1,1,0,370,42600000
Western Province,Karongi,Gishari,Mansion,5,5,318,1,2012,0,1,1,0,2,1,1,0,1010,121900000
Western Province,Rubavu,Nyakiriba,Villa,4,4,114,1,2010,1,1,1,1,1,2,1,2,360,46000000
Southern Province,Gisagara,Mukindo,Apartment,1,1,51,2,2003,1,1,1,1,2,0,2,1,150,10600000
Southern Province,Huye,Rusatira,Apartment,2,1,83,2,1999,0,1,0,1,2,1,1,2,410,21000000
Northern Province,Rulindo,Tumba,Apartment,3,3,85,2,2015,1,1,0,1,2,1,1,1,230,30800000
Southern Province,Muhanga,Kibangu,House,3,2,113,2,2023,0,1,1,1,1,2,1,0,210,32000000
Northern Province,Rulindo,Masoro,Apartment,2,2,56,1,2014,1,1,1,1,1,2,1,2,230,14700000
Northern Province,Rulindo,Kisaro,Apartment,1,1,47,2,2016,1,1,1,1,2,2,1,2,70,11500000
Southern Province,Kamonyi,Kayumbu,House,3,3,86,3,2002,1,0,1,1,2,2,2,2,190,29000000
Northern Province,Burera,Rusarabuye,House,3,3,132,1,1999,1,1,1,1,2,2,2,2,600,38800000
Southern Province,Nyaruguru,Muganza,Apartment,2,1,85,1,1999,1,1,1,1,2,1,0,2,150,15400000
Southern Province,Gisagara,Save,Mansion,4,4,182,2,2005,1,1,1,0,1,2,1,2,880,68000000
Southern Province,Nyanza,Kibirizi,Villa,3,2,113,3,2008,0,1,1,1,1,2,1,1,360,35800000
Western Province,Rutsiro,Rusebeya,Villa,3,2,135,3,2012,1,1,1,1,0,1,1,1,400,38800000
Southern Province,Huye,Butare,House,4,3,193,1,2022,0,1,1,1,1,1,0,2,940,70600000
Northern Province,Rulindo,Shyorongi,House,2,1,74,1,2003,0,0,0,1,0,1,0,2,260,21600000
Northern Province,Gakenke,Coko,House,3,2,119,2,2004,1,1,1,1,2,0,2,0,310,31500000
Northern Province,Gicumbi,Muko,House,2,2,67,1,2025,0,1,1,1,0,2,1,1,150,21500000
Northern Province,Gakenke,Kamubuga,Mansion,4,4,196,2,2005,0,0,1,1,1,1,0,2,380,78000000
Southern Province,Nyaruguru,Ngera,Apartment,2,2,74,1,2024,1,1,1,1,2,2,1,2,190,22200000
Eastern Province,Kirche,Kirche,House,3,3,94,3,1996,0,1,0,1,1,1,2,2,180,25100000
Northern Province,Gakenke,Minazi,Apartment,3,2,80,1,2022,0,1,1,1,1,2,2,1,290,26800000
Southern Province,Gisagara,Kansi,Apartment,3,3,94,1,1998,1,1,1,1,1,2,2,1,250,23600000
Southern Province,Huye,Mbazi,Apartment,3,3,89,0,1996,1,1,1,1,1,2,1,2,240,23400000
Eastern Province,Gatsibo,Muhura,Apartment,3,2,96,1,2007,1,1,1,1,2,2,1,2,180,26300000
Southern Province,Muhanga,Shyogwe,House,4,4,177,2,2009,1,1,0,1,2,2,1,1,800,66700000
Eastern Province,Kayonza,Nyamirama,Apartment,1,1,40,3,1997,1,1,1,1,0,1,2,2,190,7800000
Kigali City,Gasabo,Kimihurura,House,4,3,189,2,1999,1,1,1,1,1,2,2,2,560,176700000
Eastern Province,Kayonza,Rukara,Apartment,2,1,51,1,2004,1,1,1,1,1,2,1,2,190,12000000
Southern Province,Nyaruguru,Rusenge,House,3,2,135,0,2021,1,1,1,1,1,2,2,2,320,34700000
Southern Province,Nyanza,Kibirizi,House,2,1,83,2,2011,0,1,1,1,1,0,1,1,200,17500000
Western Province,Rubavu,Bugeshi,House,3,3,110,2,1995,1,1,1,1,2,2,1,2,180,34400000
Northern Province,Rulindo,Buyoga,Apartment,1,1,56,0,2002,1,1,1,1,0,2,0,2,100,12100000
Southern Province,Nyanza,Mukingo,House,2,2,77,2,2015,0,1,1,1,0,1,0,1,380,24000000
Eastern Province,Bugesera,Mayange,House,4,4,155,2,1999,1,1,1,1,2,2,1,2,400,47900000
Eastern Province,Nyagatare,Kiyombe,Apartment,2,1,54,1,2013,1,1,0,1,1,2,0,2,180,14000000
Eastern Province,Rwamagana,Munyiginya,Villa,6,5,264,1,2005,0,0,1,1,1,1,2,2,800,121500000
Southern Province,Nyamagabe,Kibirizi,House,4,4,164,1,1999,1,1,0,1,1,1,1,2,560,60800000
Eastern Province,Kirche,Gatore,Mansion,5,4,206,2,2006,0,1,1,1,2,2,1,1,850,72500000
Eastern Province,Gatsibo,Kiziguro,House,3,3,157,0,2003,1,1,1,1,1,2,2,1,570,39500000
Northern Province,Rulindo,Rukozo,Apartment,1,1,44,2,2022,1,1,1,1,2,2,2,2,130,9800000
Southern Province,Huye,Mukura,House,3,2,117,2,1996,1,1,0,1,2,2,2,1,240,32200000
Southern Province,Nyaruguru,Kibeho,House,5,4,194,3,2011,1,1,1,1,2,0,1,2,890,76900000
Southern Province,Ruhango,Kinazi,Apartment,2,1,52,2,2006,1,1,0,1,1,2,2,1,90,13000000
Southern Province,Kamonyi,Karama,Mansion,5,5,299,1,2004,1,0,1,1,0,2,2,1,1280,141500000
Eastern Province,Kayonza,Mwiri,House,3,2,109,1,2000,1,1,1,1,1,1,2,2,360,31100000
Western Province,Ngororero,Ngororero,Apartment,3,3,79,2,2025,1,1,0,1,1,2,2,2,190,27000000
Western Province,Rubavu,Kanama,House,3,2,95,0,2014,1,1,1,1,1,1,2,2,210,25300000
Western Province,Rutsiro,Cyanika,Villa,3,2,101,2,2004,1,1,1,1,1,1,0,2,430,27500000
Southern Province,Huye,Maraba,House,2,2,73,0,2003,1,0,1,1,2,2,1,2,220,20100000
Northern Province,Rulindo,Rusiga,Apartment,2,1,87,0,2006,1,1,1,1,2,1,0,1,180,17700000
Southern Province,Ruhango,Byima,Apartment,3,3,85,1,2017,1,1,0,1,1,2,0,2,370,30700000
Southern Province,Nyamagabe,Buruhukiro,Apartment,2,2,50,2,1997,1,1,0,1,0,0,0,1,80,11700000
Eastern Province,Kirche,Gahara,Villa,4,4,145,2,2010,0,0,0,1,1,2,1,2,700,57900000
Western Province,Rutsiro,Mushubati,Villa,5,4,198,0,2018,0,0,1,1,1,1,1,2,360,68200000
Western Province,Ngororero,Muhanda,Villa,4,4,189,3,2003,0,1,1,1,1,2,1,0,350,57400000
Eastern Province,Kirche,Kirche,Villa,3,3,106,2,2002,1,1,1,1,1,2,1,1,390,28400000
Northern Province,Gicumbi,Bwisige,Mansion,6,6,362,2,1996,0,1,1,1,2,2,1,1,1090,143900000
Western Province,Rutsiro,Kavumu,Mansion,5,5,311,2,2001,0,1,1,1,2,1,2,2,670,138200000
Western Province,Rubavu,Nyakiriba,House,4,3,177,1,2010,1,1,1,1,2,1,2,2,740,83100000
Northern Province,Gakenke,Rushashi,House,4,3,133,2,2016,1,0,0,1,1,0,1,1,660,55600000
Southern Province,Nyamagabe,Nkomane,House,3,3,159,2,2007,0,1,1,1,0,1,1,2,610,52100000
Eastern Province,Gatsibo,Kiziguro,House,4,3,136,2,2022,1,1,1,1,2,2,0,2,420,54200000
Eastern Province,Kayonza,Mukarange,Apartment,1,1,60,2,2013,0,1,1,1,1,0,0,1,210,15600000
Kigali City,Gasabo,Kacyiru,Villa,4,4,169,2,2019,1,1,0,1,1,2,1,2,470,173400000
Northern Province,Gicumbi,Miyove,House,3,3,156,2,2022,1,1,1,1,0,2,2,1,410,60100000
Eastern Province,Rwamagana,Nyakaliro,Mansion,6,6,421,2,2022,1,1,1,1,1,1,2,1,1970,227700000
Southern Province,Nyaruguru,Ngoma,Apartment,2,1,92,3,2024,0,1,0,1,2,1,1,1,400,34200000
Western Province,Nyamasheke,Karengera,Mansion,5,5,251,0,2015,1,1,1,0,0,1,1,0,460,89600000
Western Province,Nyamasheke,Kirimbi,House,4,3,123,0,1998,0,1,1,1,1,1,2,2,200,34900000
Eastern Province,Nyagatare,Mukama,House,4,3,169,2,1996,1,1,1,1,0,2,0,1,780,54900000
Northern Province,Musanze,Gashaki,Apartment,2,1,58,1,2008,1,1,1,1,1,1,1,2,90,12100000
Southern Province,Gisagara,Mamba,Apartment,1,1,57,2,2017,0,1,1,1,1,2,1,1,250,13900000
Southern Province,Gisagara,Muganza,Villa,4,4,145,2,1998,0,1,1,1,0,2,1,1,440,43900000
Kigali City,Gasabo,Kinyinya,Villa,3,2,148,2,1998,1,0,0,1,1,2,1,2,530,100500000
Southern Province,Muhanga,Kibangu,Apartment,1,1,43,1,2020,1,1,1,1,2,2,0,0,170,10600000
Eastern Province,Nyagatare,Musheri,Apartment,1,1,35,1,2003,1,1,1,1,1,1,1,1,150,7400000
Kigali City,Kicukiro,Gikondo,Villa,3,2,125,3,2006,0,1,1,1,2,1,2,2,360,79300000
Northern Province,Burera,Kagogo,Villa,3,2,147,2,2021,1,1,1,1,2,0,1,2,670,61600000
Southern Province,Nyamagabe,Mutarama,Apartment,2,2,93,1,2008,0,1,1,1,1,2,0,2,350,26000000
Northern Province,Gakenke,Rusasa,House,3,2,103,1,2007,0,1,0,1,1,0,2,2,170,30000000
Eastern Province,Kayonza,Ndego,Mansion,4,4,194,2,2020,1,1,1,1,2,0,1,0,630,82700000
Eastern Province,Kayonza,Mwiri,House,3,2,160,0,2009,1,1,1,1,0,2,1,0,770,54800000
Western Province,Rusizi,Bweyeye,House,3,2,156,0,2009,0,1,1,1,1,2,1,2,250,38800000
Northern Province,Musanze,Rwaza,House,3,3,126,1,1996,1,1,1,1,2,1,2,2,510,38700000
Southern Province,Nyaruguru,Muganza,House,4,4,127,1,2003,1,1,1,1,1,1,0,2,400,47200000
Southern Province,Gisagara,Musha,Villa,3,2,136,1,1995,1,1,1,1,2,2,1,1,260,31700000
Western Province,Karongi,Ruganda,House,4,3,165,2,2023,1,1,0,1,1,1,2,0,550,71500000
Southern Province,Gisagara,Mugombwa,Villa,4,4,203,1,1996,1,1,1,1,1,1,1,2,770,75800000
Western Province,Ngororero,Muhanda,House,1,1,60,2,2015,1,1,1,1,1,2,1,2,170,14200000
Southern Province,Nyamagabe,Musebeya,House,3,3,139,2,2015,1,1,1,1,2,0,2,1,280,37300000
Southern Province,Nyanza,Nyagisozi,House,3,2,100,3,2010,1,1,1,1,2,2,0,1,370,35800000
Western Province,Karongi,Bwishyura,Villa,5,4,229,0,2016,1,1,1,1,2,1,1,2,490,77100000
Western Province,Karongi,Gishari,Mansion,5,5,309,2,1997,1,1,1,1,1,2,1,2,1330,133300000
Western Province,Ngororero,Muhanda,Mansion,5,5,274,1,2010,1,1,1,1,2,1,0,1,540,100600000
Western Province,Ngororero,Kabaya,Villa,3,3,145,1,1998,1,1,1,1,1,1,2,1,630,37600000
Northern Province,Gicumbi,Byumba,Mansion,5,5,286,1,2025,1,1,1,1,0,2,1,2,670,122800000
Western Province,Rutsiro,Gihango,Mansion,4,4,213,1,2017,0,1,1,1,2,1,1,1,1030,96100000
Southern Province,Nyamagabe,Nkomane,Apartment,3,2,85,2,2007,1,1,1,1,1,1,2,1,380,26800000
Southern Province,Nyaruguru,Nyabimata,Villa,3,2,135,1,2015,0,1,1,1,0,1,0,2,640,45900000
Southern Province,Nyamagabe,Rusenge,House,2,2,85,2,1999,1,1,1,1,1,2,1,0,320,26100000
Northern Province,Rulindo,Tumba,House,3,3,154,1,2011,0,1,1,1,1,1,1,2,750,59800000
Northern Province,Burera,Bungwe,Mansion,5,5,307,1,2015,1,1,0,1,2,1,0,1,630,119500000
Southern Province,Ruhango,Kabagali,House,4,3,125,1,2019,1,1,1,1,1,2,1,1,570,47400000
Eastern Province,Nyagatare,Kiyombe,Villa,4,3,122,3,2012,1,1,1,1,2,0,1,1,520,52700000
